algorithm,nev,time
CMSINTRD,294.0,569.028499
CMSINTRD,298.0,741.690729
CMSINTRD,302.0,567.925733
CMSINTRD,304.0,612.549512
CMSINTRD,305.0,558.220534
CMSINTRD,308.0,533.110027
CMSINTRD,314.0,571.647029
CMSINTRD,322.0,979.652169
CMSINTRD,323.0,631.732357
CMSINTRD,326.0,663.983789
CMSINTRD,329.0,818.919203
CMSINTRD,330.0,821.302845
CMSINTRD,332.0,796.789066
CMSINTRD,333.0,780.37644
CMSINTRD,340.0,922.096374
CMSINTRD,341.0,915.014546
CMSINTRD,343.0,808.139132
CMSINTRD,345.0,908.948776
CMSINTRD,347.0,1573.327537
CMSINTRD,356.0,953.198348
CMSINTRD,358.0,995.765058
CMSINTRD,364.0,1042.39263
CMSINTRD,367.0,1729.908441
CMSINTRD,370.0,926.435745
CMSINTRD,379.0,903.206074
CMSINTRD,381.0,997.859349
CMSINTRD,387.0,909.204777
CMSINTRD,391.0,1303.706254
CMSINTRD,400.0,1351.034351
CMSINTRD,401.0,1631.843832
CMSINTRD,404.0,1207.843273
CMSINTRD,408.0,1333.634783
CMSINTRD,410.0,1260.822973
CMSINTRD,419.0,1593.812658
CMSINTRD,421.0,1462.055275
CMSINTRD,423.0,1571.226646
CMSINTRD,431.0,2076.920574
CMSINTRD,441.0,1716.082897
CMSINTRD,442.0,1833.283747
CMSINTRD,445.0,1810.681669
CMSINTRD,446.0,1759.672293
CMSINTRD,460.0,1937.472448
CMSINTRD,467.0,1684.149805
CMSINTRD,470.0,1865.542525
CMSINTRD,477.0,1809.445628
CMSINTRD,479.0,1864.571921
CMSINTRD,480.0,1962.470737
CMSINTRD,483.0,1990.688248
CMSINTRD,484.0,2002.670088
CMSINTRD,485.0,2140.575616
CMSINTRD,492.0,2314.019968
CMSINTRD,496.0,2079.984301
CMSINTRD,499.0,2079.621037
PD,181.0,13.454499
PD,195.0,14.145483
PD,234.0,15.623013
PD,255.0,17.248945
PD,280.0,20.373699
PD,292.0,21.67948
PD,305.0,24.995876
PD,341.0,29.210448
PD,366.0,32.834286
PD,379.0,35.437701
PD,415.0,38.504181
PD,440.0,40.992393
PD,456.0,45.027512
PD,486.0,49.030949
PD,499.0,52.129903
