"max(X)","min(X)"
0.79679,0.20234
0.79704,0.20208
0.79753,0.20158
0.79799,0.20112
0.79853,0.20058
0.79891,0.20021
0.79931,0.19981
0.80003,0.19909
0.80005,0.19907
0.8004,0.19873
0.80073,0.19839
0.80137,0.19775
0.80133,0.19779
0.8016,0.19751
0.80218,0.19693
0.8021,0.197
0.80234,0.19675
0.80286,0.19622
0.80278,0.19629
0.80299,0.19606
0.80322,0.19583
0.80373,0.19532
0.8034,0.19565
0.80323,0.19582
0.80347,0.19559
0.80284,0.19622
0.80256,0.19652
0.80226,0.19683
0.80183,0.19727
0.80153,0.19759
0.80125,0.19788
0.80077,0.19838
0.80035,0.19881
0.79993,0.19924
0.79947,0.1997
0.79906,0.20012
0.79866,0.20052
0.79825,0.20094
0.79784,0.20135
0.79745,0.20174
0.79707,0.20212
0.7967,0.20248
0.79635,0.20282
0.79602,0.20314
0.79571,0.20344
0.79541,0.20372
0.79514,0.20398
0.79488,0.20421
0.79465,0.20443
0.79442,0.20463
0.79422,0.20482
0.79402,0.20499
0.79384,0.20515
0.79366,0.20531
0.79349,0.20546
0.79332,0.20561
0.79316,0.20575
0.793,0.20589
0.79284,0.20604
0.79267,0.20618
0.79251,0.20633
0.79234,0.20649
0.79216,0.20665
0.79198,0.20681
0.7918,0.20698
0.79161,0.20715
0.79141,0.20733
0.79121,0.20752
0.79101,0.20771
0.79079,0.2079
0.79057,0.2081
0.79033,0.20831
0.79009,0.20853
0.78984,0.20876
0.78957,0.209
0.78928,0.20926
0.78898,0.20954
0.78865,0.20982
0.78831,0.21013
0.78794,0.21046
0.78756,0.21081
0.78714,0.21118
0.78671,0.21158
0.78625,0.21199
0.78577,0.21243
0.78527,0.21289
0.78475,0.21336
0.7842,0.21385
0.78365,0.21436
0.78307,0.21488
0.78249,0.21542
0.78189,0.21596
0.7812,0.21658
0.7806,0.21713
0.78013,0.21753
0.77945,0.21814
0.77889,0.21862
0.77835,0.21909
0.77781,0.21955
0.77729,0.22
0.77676,0.22043
0.7762,0.2209
0.77565,0.22136
0.77511,0.22181
0.77457,0.22224
0.77404,0.22267
0.77352,0.22309
0.773,0.2235
0.77248,0.2239
0.77197,0.2243
0.77146,0.22469
0.77095,0.22508
0.77043,0.22546
0.76989,0.22587
0.76937,0.22627
0.76885,0.22666
0.76834,0.22705
0.76784,0.22744
0.76736,0.22781
0.76688,0.22816
0.76643,0.22851
0.76598,0.22884
0.76554,0.22917
0.76515,0.22947
0.76478,0.22974
0.76443,0.22999
0.76411,0.23023
0.7638,0.23046
0.76352,0.23067
0.76325,0.23087
0.76299,0.23107
0.76275,0.23126
0.76252,0.23144
0.76229,0.23163
0.76207,0.23182
0.76177,0.23209
0.76148,0.23234
0.76119,0.23259
0.76089,0.23284
0.76061,0.23307
0.76034,0.23327
0.76008,0.23347
0.75982,0.23365
0.75957,0.23383
0.75931,0.234
0.75905,0.23417
0.75879,0.23435
0.75849,0.23455
0.75818,0.23478
0.75786,0.23502
0.75753,0.23527
0.75719,0.23553
0.75687,0.23578
0.75656,0.23604
0.75623,0.23632
0.7559,0.2366
0.75556,0.2369
0.75523,0.23718
0.75512,0.23726
0.75457,0.23778
0.75428,0.23804
0.75389,0.23839
0.75385,0.23842
0.75325,0.23899
0.75295,0.23927
0.75259,0.2396
0.75229,0.23986
0.75196,0.24016
0.75165,0.24045
0.75135,0.24072
0.75134,0.2407
0.75078,0.24123
0.75049,0.24148
0.75021,0.24174
0.74997,0.24196
0.74985,0.24207
0.74954,0.24237
0.74938,0.24253
0.74914,0.24276
0.74904,0.24287
0.74872,0.24319
0.7487,0.24322
0.74848,0.24346
0.74838,0.24358
0.74855,0.24343
0.74822,0.24379
0.74813,0.24389
0.74805,0.24399
0.74799,0.24408
0.74792,0.24416
0.74784,0.24424
0.74782,0.24427
0.74771,0.24437
0.74768,0.24439
0.74747,0.24458
0.74753,0.2445
0.74735,0.24461
0.74726,0.24466
0.74717,0.24473
0.74707,0.24479
0.747,0.24482
0.74683,0.24495
0.74671,0.24504
0.74659,0.24514
0.74684,0.24489
0.74636,0.24536
0.74622,0.24551
0.74644,0.24531
0.74599,0.24578
0.74585,0.24594
0.74576,0.24607
0.74583,0.24603
0.74544,0.24647
0.74537,0.24661
0.74523,0.2468
0.74513,0.24695
0.74507,0.24708
0.74524,0.24696
0.74475,0.24756
0.74469,0.24771
0.74502,0.24749
0.74453,0.24803
0.74438,0.24825
0.7444,0.24832
0.74414,0.24862
0.74403,0.24878
0.74408,0.24878
0.74363,0.24928
0.74344,0.24952
0.74361,0.24941
0.7432,0.24984
0.74304,0.25004
0.74288,0.25023
0.74271,0.25043
0.74247,0.25071
0.74225,0.25098
0.74204,0.25127
0.74218,0.25122
0.74167,0.2518
0.74142,0.25214
0.7412,0.25247
0.74099,0.25281
0.74075,0.25318
0.74039,0.25368
0.74005,0.2542
0.74006,0.25438
0.73976,0.25488
0.73965,0.25522
0.73929,0.25577
0.73912,0.25616
0.73904,0.25644
0.73842,0.25734
0.73824,0.2578
0.73832,0.25799
0.73777,0.25882
0.73751,0.25936
0.73726,0.25989
0.73707,0.26039
0.73679,0.26096
0.73651,0.26153
0.73647,0.26185
0.73627,0.26232
0.73611,0.26273
0.73595,0.26312
0.73581,0.26349
0.73567,0.26383
0.73554,0.26415
0.73542,0.26445
0.73531,0.26472
0.7352,0.26498
0.73511,0.26521
0.73502,0.26542
0.73495,0.26561
0.73488,0.26578
0.73482,0.26595
0.73478,0.26611
0.73472,0.26626
0.73468,0.2664
0.73462,0.26654
0.73458,0.26667
0.73453,0.26681
0.73447,0.26693
0.73443,0.26705
0.73433,0.26722
0.73426,0.26734
0.73422,0.26744
0.73429,0.26741
0.73408,0.26764
0.734,0.26775
0.73392,0.26785
0.73383,0.26795
0.73373,0.26805
0.73363,0.26814
0.73354,0.2682
0.73342,0.26829
0.73328,0.2684
0.73318,0.26844
0.73305,0.26851
0.73291,0.26857
0.73277,0.26864
0.73265,0.26866
0.73248,0.26873
0.7323,0.26879
0.73211,0.26887
0.73193,0.26891
0.73173,0.26897
0.73152,0.26903
0.7313,0.26908
0.73107,0.26914
0.73081,0.26922
0.73057,0.26928
0.73031,0.26935
0.73005,0.26941
