algorithm,conv,time
CB-CMS,29,78.5568
CMSINTRD_4_5,45,42.102474
PD,499,77.362703
AMLS,464,1401.922822
CB-CMS,388,676.393
AMLS,468,1280.922193
CB-CMS,397,702.784
CMSINTRD_4_5,446,1759.672293
AMLS,472,1520.748803
CB-CMS,402,698.691
AMLS,474,1382.748873
CB-CMS,405,710.459
CMSINTRD_4_5,445,1810.681669
AMLS,477,1251.186088
CB-CMS,405,699.099
PD,499,78.968904
AMLS,480,1324.082257
CB-CMS,405,705.577
CMSINTRD_4_5,477,1809.445628
AMLS,483,1352.077137
CB-CMS,405,699.813
AMLS,485,1424.407925
CB-CMS,411,719.424
CMSINTRD_4_5,470,1865.542525
AMLS,487,1309.934097
CB-CMS,411,715.038
AMLS,490,1342.778620
CB-CMS,413,715.094
CMSINTRD_4_5,442,1833.283747
AMLS,37,33.333186
CB-CMS,31,87.7694
PD,499,80.888544
AMLS,491,1466.135796
CB-CMS,425,740.804
AMLS,494,1472.361783
CB-CMS,425,747.605
CMSINTRD_4_5,479,1864.571921
AMLS,495,1351.336993
CB-CMS,425,742.257
AMLS,495,1393.988567
CB-CMS,424,746.684
CMSINTRD_4_5,460,1937.472448
AMLS,495,1489.685553
CB-CMS,425,740.679
PD,499,86.242637
AMLS,495,1426.947706
CB-CMS,425,745.751
CMSINTRD_4_5,480,1962.470737
AMLS,495,1444.782212
CB-CMS,429,754.117
AMLS,495,1527.823412
CB-CMS,433,753.373
CMSINTRD_4_5,483,1990.688248
AMLS,495,1495.706568
CB-CMS,433,756.562
AMLS,495,1525.728952
CB-CMS,447,778.897
CMSINTRD_4_5,484,2002.670088
AMLS,40,31.738293
CB-CMS,34,97.931
CMSINTRD_4_5,45,44.304591
PD,499,88.590266
AMLS,495,1511.776152
CB-CMS,448,779.606
AMLS,495,1614.184985
CB-CMS,448,780.65
CMSINTRD_4_5,431,2076.920574
AMLS,495,1542.728062
CB-CMS,447,781.69
AMLS,495,1543.276955
CB-CMS,448,782.257
CMSINTRD_4_5,496,2079.984301
AMLS,495,1589.454542
CB-CMS,448,780.068
PD,499,91.837226
AMLS,495,1579.300662
CB-CMS,448,783.22
CMSINTRD_4_5,499,2079.621037
AMLS,495,1566.330813
CB-CMS,454,792.572
AMLS,495,1623.404518
CB-CMS,454,795.702
CMSINTRD_4_5,485,2140.575616
AMLS,495,1586.375937
CB-CMS,454,795.721
AMLS,495,1571.197008
CB-CMS,461,822.852
CMSINTRD_4_5,499,2182.395703
AMLS,41,37.299275
CB-CMS,34,105.481
PD,499,92.658684
AMLS,495,1625.206710
CB-CMS,462,824.84
AMLS,495,1724.522687
CB-CMS,461,821.965
CMSINTRD_4_5,499,2206.505338
AMLS,495,1678.402109
CB-CMS,461,820.159
AMLS,495,1625.232436
CB-CMS,461,820.898
CMSINTRD_4_5,499,2218.244420
AMLS,495,1668.882006
CB-CMS,461,818.1
PD,499,96.103850
AMLS,495,1648.055596
CB-CMS,474,855.437
CMSINTRD_4_5,499,2217.690274
AMLS,495,1652.394815
CB-CMS,474,869.373
AMLS,495,1766.136974
CB-CMS,473,856.794
CMSINTRD_4_5,499,2359.164368
AMLS,495,1705.345027
CB-CMS,478,864.522
AMLS,495,1711.979412
CB-CMS,478,863.002
CMSINTRD_4_5,499,2338.229617
AMLS,41,39.068170
CB-CMS,39,104.652
CMSINTRD_4_5,52,49.184988
PD,499,99.013635
AMLS,495,1771.495632
CB-CMS,478,864.105
AMLS,495,1796.398698
CB-CMS,478,864.353
CMSINTRD_4_5,492,2314.019968
AMLS,495,1757.123837
CB-CMS,478,865.993
AMLS,495,1710.158211
CB-CMS,483,885.94
CMSINTRD_4_5,499,2337.031125
AMLS,495,1723.306240
CB-CMS,482,893.561
PD,499,100.259978
AMLS,495,1774.343607
CB-CMS,488,910.629
AMLS,495,1728.877791
CB-CMS,488,898.207
AMLS,495,1825.103274
CB-CMS,491,902.647
AMLS,495,1864.478816
CB-CMS,489,902.241
AMLS,495,1905.796903
CB-CMS,490,905.139
AMLS,42,37.508778
CB-CMS,45,106.769
PD,499,103.225795
AMLS,495,1803.042272
CB-CMS,493,917.507
AMLS,495,1833.386442
CB-CMS,496,944.688
AMLS,495,1934.382631
CB-CMS,,949.802
AMLS,495,1990.848111
CB-CMS,,947.375
AMLS,495,1877.959285
CB-CMS,,945.507
PD,499,106.500183
AMLS,495,1947.733171
CB-CMS,,950.831
AMLS,495,1847.204013
CB-CMS,,947.34
AMLS,495,1989.328707
CB-CMS,,964.526
AMLS,495,1938.180787
CB-CMS,,957.447
AMLS,495,2058.277159
CB-CMS,,990.34
AMLS,42,37.994361
CB-CMS,46,110.385
CMSINTRD_4_5,52,55.399805
PD,499,109.638347
AMLS,495,1953.142098
CB-CMS,,984.597
AMLS,495,2009.256028
CB-CMS,,986.163
AMLS,495,1970.972921
CB-CMS,,991.648
AMLS,495,2119.614047
CB-CMS,,
AMLS,495,2064.847097
PD,499,118.704625
AMLS,495,2023.848614
AMLS,495,2105.329988
AMLS,495,1991.422754
AMLS,495,2125.976527
AMLS,495,2203.766722
AMLS,43,45.606446
CB-CMS,48,106.142
PD,499,116.619490
AMLS,495,2029.581375
AMLS,495,2151.306928
AMLS,495,2130.972813
AMLS,495,2189.280635
AMLS,495,2099.702291
PD,499,119.565001
AMLS,44,42.452208
CB-CMS,51,109.469
CMSINTRD_4_5,67,59.394260
PD,499,121.258040
PD,499,123.915190
AMLS,46,52.163312
CB-CMS,53,109.881
PD,499,129.365643
PD,499,133.527494
AMLS,48,50.324324
CB-CMS,56,113.808
CMSINTRD_4_5,57,63.082886
PD,499,139.244402
PD,499,137.469246
AMLS,52,49.352548
CB-CMS,60,116.019
PD,499,138.989184
PD,499,154.256380
AMLS,55,62.426773
CB-CMS,63,119.263
CMSINTRD_4_5,73,69.599141
PD,499,166.913861
PD,499,169.588730
AMLS,59,56.130038
CB-CMS,66,123.751
PD,499,175.539134
PD,499,180.118278
AMLS,61,60.648016
CB-CMS,73,126.596
CMSINTRD_4_5,78,73.803184
PD,499,185.007028
PD,499,189.053689
AMLS,65,61.019678
CB-CMS,76,108.372
PD,499,194.862444
PD,499,198.045589
AMLS,68,69.055758
CB-CMS,78,110.133
CMSINTRD_4_5,81,79.240464
PD,499,200.216366
PD,499,204.816555
AMLS,69,63.372146
CB-CMS,81,111.375
PD,,216.061592
AMLS,69,86.234905
CB-CMS,82,114.626
CMSINTRD_4_5,90,85.477845
AMLS,71,74.796021
CB-CMS,84,118.62
AMLS,73,98.598634
CB-CMS,85,118.671
CMSINTRD_4_5,100,92.293415
AMLS,75,88.123407
CB-CMS,86,121.598
AMLS,77,99.747926
CB-CMS,87,124.513
CMSINTRD_4_5,104,99.376010
AMLS,80,101.866940
CB-CMS,87,127.068
AMLS,81,98.322641
CB-CMS,89,128.16
CMSINTRD_4_5,104,104.904105
AMLS,83,103.170975
CB-CMS,89,130.305
AMLS,83,110.309575
CB-CMS,88,126.582
CMSINTRD_4_5,99,102.334435
PD,181,10.790144
AMLS,84,116.968086
CB-CMS,88,125.958
AMLS,85,121.637954
CB-CMS,88,124.706
CMSINTRD_4_5,103,101.954747
AMLS,86,110.331112
CB-CMS,88,124.487
AMLS,88,127.193725
CB-CMS,88,124.092
CMSINTRD_4_5,101,102.038728
AMLS,91,130.258052
CB-CMS,88,125.085
PD,195,11.277950
AMLS,93,127.123884
CB-CMS,88,126.178
CMSINTRD_4_5,98,101.113022
AMLS,95,128.472251
CB-CMS,88,123.855
AMLS,97,138.342070
CB-CMS,100,148.373
CMSINTRD_4_5,108,129.893109
AMLS,100,155.560618
CB-CMS,109,153.363
AMLS,101,151.269336
CB-CMS,109,152.549
CMSINTRD_4_5,125,144.725721
PD,234,12.124263
AMLS,105,156.861193
