Method,Num_Modes,Error_2norm,Time_Total
CB-CMS,510,2.773101e-02,644.518
CB-CMS,530,2.773101e-02,632.139
CB-CMS,550,2.773101e-02,642.28
CB-CMS,570,2.773101e-02,647.169
CB-CMS,590,1.963907e-02,754.173
CB-CMS,630,1.963907e-02,749.429
CB-CMS,650,1.963907e-02,759.938
CB-CMS,670,1.963907e-02,758.304
CB-CMS,690,1.963907e-02,751.664
CB-CMS,710,1.963907e-02,765.888
CB-CMS,730,1.515114e-02,883.27
CB-CMS,750,1.515114e-02,876.095
CB-CMS,770,1.515114e-02,867.42
CB-CMS,790,1.515114e-02,874.072
CB-CMS,810,1.515114e-02,882.633
CB-CMS,830,1.515114e-02,867.491
CB-CMS,850,1.364300e-02,900.466
CB-CMS,870,1.227497e-02,974.497
CB-CMS,890,1.227497e-02,987.907
CB-CMS,910,1.227497e-02,971.29
CB-CMS,930,1.227497e-02,975.06
CB-CMS,950,1.227497e-02,973.301
CB-CMS,970,1.082649e-02,1014.39
CB-CMS,990,1.011904e-02,1096.43
CMS-INTRD,80,3.2799e+00,106.677
CMS-INTRD,90,6.9565e-01,108.737
CMS-INTRD,100,4.4676e-01,118.717
CMS-INTRD,110,3.2183e-01,113.701
CMS-INTRD,120,2.6397e-01,112.938
CMS-INTRD,130,2.2533e-01,120.018
CMS-INTRD,140,1.9379e-01,125.149
CMS-INTRD,150,1.6747e-01,132.952
CMS-INTRD,160,1.5306e-01,140.454
CMS-INTRD,170,1.3785e-01,149.217
CMS-INTRD,180,1.2522e-01,154.007
CMS-INTRD,190,1.1403e-01,166.193
CMS-INTRD,200,1.0419e-01,161.474
CMS-INTRD,210,9.4836e-02,180.797
CMS-INTRD,220,8.7336e-02,178.982
CMS-INTRD,230,8.1146e-02,185.446
CMS-INTRD,240,7.5181e-02,200.491
CMS-INTRD,250,7.0498e-02,197.884
CMS-INTRD,260,6.5721e-02,204.239
CMS-INTRD,270,6.1754e-02,223.299
CMS-INTRD,280,5.8250e-02,220.595
CMS-INTRD,290,5.5011e-02,226.155
CMS-INTRD,300,5.1403e-02,249.274
CMS-INTRD,310,4.8815e-02,289.498
CMS-INTRD,320,4.6565e-02,307.494
CMS-INTRD,330,4.4194e-02,310.472
CMS-INTRD,360,3.8193e-02,302.413
CMS-INTRD,370,3.6322e-02,314.118
CMS-INTRD,380,3.4868e-02,316.567
CMS-INTRD,390,3.3670e-02,319.312
CMS-INTRD,400,3.2264e-02,336.378
CMS-INTRD,410,3.1033e-02,363.576
CMS-INTRD,420,2.9868e-02,377.868
CMS-INTRD,430,2.8849e-02,391.663
CMS-INTRD,440,2.7632e-02,387.328
CMS-INTRD,450,2.6715e-02,419.888
CMS-INTRD,460,2.5678e-02,485.35
CMS-INTRD,470,2.4901e-02,560.976
CMS-INTRD,480,2.4138e-02,593.213
CMS-INTRD,490,2.3386e-02,624.049
CMS-INTRD,500,2.4310e-02,608.7
CMS-INTRD,510,2.4307e-02,476.969
CMS-INTRD,520,2.4304e-02,495.428
CMS-INTRD,530,2.4302e-02,492.338
CMS-INTRD,540,2.4299e-02,503.981
CMS-INTRD,550,2.4297e-02,494.528
CMS-INTRD,560,2.4294e-02,593.507
CMS-INTRD,570,2.2190e-02,653.469
CMS-INTRD,580,1.7224e-02,768.183
CMS-INTRD,590,1.7222e-02,800.902
CMS-INTRD,600,1.7221e-02,810.784
CMS-INTRD,610,1.7220e-02,711.278
CMS-INTRD,620,1.7219e-02,672.697
CMS-INTRD,630,1.7219e-02,723.493
CMS-INTRD,640,1.7218e-02,732.105
CMS-INTRD,650,1.7217e-02,712.748
CMS-INTRD,660,1.7216e-02,670.461
CMS-INTRD,670,1.7216e-02,664.736
CMS-INTRD,680,1.7215e-02,774.413
CMS-INTRD,690,1.7215e-02,712.177
CMS-INTRD,700,1.7215e-02,728.987
CMS-INTRD,710,1.7214e-02,789.99
CMS-INTRD,720,1.3734e-02,868.88
CMS-INTRD,730,1.3353e-02,917.894
CMS-INTRD,740,1.3353e-02,843.955
CMS-INTRD,750,1.3352e-02,842.271
CMS-INTRD,760,1.3352e-02,880.049
CMS-INTRD,770,1.3352e-02,967.705
CMS-INTRD,780,1.3352e-02,870.103
CMS-INTRD,790,1.3351e-02,859.981
CMS-INTRD,800,1.3351e-02,892.259
CMS-INTRD,810,1.3351e-02,1050.81
CMS-INTRD,820,1.3351e-02,1037.81
PD,30,2.9986e+01,32.8859
PD,35,1.6828e+01,37.2241
PD,40,1.5416e+01,40.9279
PD,45,1.0700e+01,42.4871
PD,50,5.3363e+00,49.5515
PD,55,2.1815e+00,52.885
PD,60,1.5992e+00,58.9891
PD,65,1.0641e+00,64.963
PD,70,7.2957e-01,70.9856
PD,75,4.2623e-01,76.9072
PD,80,2.3099e-01,84.5072
PD,85,1.3163e-01,89.1267
PD,90,5.2277e-02,96.2681
PD,95,2.8039e-02,100.77
PD,100,1.3194e-02,108.098
PD,105,4.7561e-03,113.583
PD,110,1.5966e-03,123.456
PD,115,7.2912e-04,131.659
PD,120,3.4165e-04,139.122
PD,125,1.7095e-04,148.104
PD,130,9.6554e-05,157.497
PD,135,6.4555e-05,183.566
PD,140,4.4725e-05,202.357
PD,145,2.9468e-05,218.494
PD,150,2.2303e-05,230.46
PD,155,1.6063e-05,226.301
PD,160,1.1974e-05,266.952
PD,165,8.8286e-06,290.118
PD,170,6.9578e-06,291.788
PD,175,5.1675e-06,302.067
PD,180,4.1336e-06,325.608
PD,185,3.3104e-06,340.8
PD,190,2.7649e-06,352.759
PD,195,2.2877e-06,364.246
PD,200,1.8471e-06,390.763
PD,205,1.6843e-06,406.802
PD,210,1.4834e-06,399.34
PD,215,1.3405e-06,428.24
PD,220,1.2266e-06,432.189
PD,225,1.1364e-06,469.172
PD,230,1.0789e-06,371.127
PD,235,9.9170e-07,372.304
PD,240,9.3615e-07,389.39
PD,245,9.0640e-07,402.222
PD,250,8.7447e-07,419.67
PD,255,8.5547e-07,431.306
PD,260,8.2961e-07,473.956
PD,265,8.0925e-07,459.167
PD,270,7.9153e-07,484.744
PD,275,7.7451e-07,488.478
PD,280,7.6735e-07,502.068
PD,285,7.5656e-07,514.528
PD,290,7.4838e-07,542.192
PD,295,7.3928e-07,558.022
PD,300,7.3530e-07,576.414
PD,305,7.3018e-07,602.83
PD,310,7.2013e-07,637.522
PD,315,7.1611e-07,645.505
PD,320,7.1483e-07,647.281
PD,325,7.0327e-07,687.061
