index,eigenvalue,residual
120,4.844847241101e+06,5.747429828097e-06
121,4.872735917747e+06,3.373740327715e-06
122,4.876496496226e+06,4.468695966276e-06
123,5.046660002615e+06,1.654952945580e-06
124,5.052490404756e+06,2.584374034413e-06
125,5.100652331143e+06,2.050882118309e-06
126,5.133347276435e+06,1.714473105492e-06
127,5.167508692089e+06,1.826351268064e-06
128,5.243186707486e+06,1.827762222242e-06
129,5.265774642951e+06,5.285462816998e-06
130,5.301020014053e+06,2.847164815427e-06
131,5.327906944956e+06,3.369301039395e-06
132,5.493741237252e+06,2.966751113309e-06
133,5.516642900661e+06,2.275961414152e-06
134,5.532087308306e+06,2.021522657086e-06
135,5.552114703397e+06,1.597962913963e-06
136,5.606475422559e+06,1.599992742247e-06
137,5.624689705423e+06,2.600934897346e-06
138,5.647498185751e+06,3.059252628327e-06
139,5.734769054385e+06,1.079517599664e-05
140,5.775978431221e+06,5.438127462917e-06
141,5.819416971976e+06,1.613256911746e-06
142,5.855934089019e+06,3.293089966459e-06
143,5.915432651384e+06,1.835879737160e-06
144,5.931491329848e+06,4.137102867819e-06
145,5.971450681944e+06,7.124005758829e-06
146,5.975671938235e+06,5.089300962692e-06
147,5.995368377894e+06,5.698798186832e-06
148,6.006838966257e+06,7.314656688305e-06
149,6.175739190656e+06,7.481599209149e-06
150,6.233032545833e+06,4.994372104047e-06
151,6.236071461480e+06,1.768370753527e-06
152,6.371900246460e+06,1.725558863521e-06
153,6.469509098075e+06,2.253109260938e-06
154,6.496239280115e+06,6.204492977522e-06
155,6.535148325424e+06,2.275031564710e-06
156,6.607336834289e+06,2.379039783815e-06
157,6.801421640281e+06,2.615011225371e-06
158,6.818433470620e+06,2.054169111436e-06
159,6.855563479945e+06,2.745086817754e-06
160,6.888973460840e+06,2.679935855808e-06
161,6.899758720428e+06,1.394211144335e-06
162,6.924694507364e+06,6.068558992655e-06
163,7.134226345413e+06,1.567494134908e-06
164,7.188287201519e+06,4.508443702521e-06
165,7.221053399248e+06,2.276160301352e-06
166,7.248625883816e+06,2.717594788830e-06
