index,eigenvalue,residual
592,3.769639547963e+07,8.364113123121e-06
593,3.786536727397e+07,9.972499048636e-06
594,3.787699259907e+07,9.943550920620e-06
595,3.797294617315e+07,1.176354372794e-05
596,3.806703497069e+07,1.103791716565e-05
597,3.823269744788e+07,1.040832214135e-05
598,3.827732532686e+07,1.003618252847e-05
599,3.837742326952e+07,1.325070908382e-05
600,3.845116214863e+07,1.075305773584e-05
601,3.847965843802e+07,1.053341249717e-05
602,3.859153591873e+07,1.175007972545e-05
603,3.874258116651e+07,1.212864560564e-05
604,3.874814706238e+07,1.041830993920e-05
605,3.883827262050e+07,1.177764093737e-05
606,3.892143583357e+07,1.195677205288e-05
607,3.893319433944e+07,1.352875596168e-05
608,3.905028603591e+07,1.271308153042e-05
609,3.919821942404e+07,1.141961048833e-05
610,3.927168496191e+07,1.136546692667e-05
611,3.939355854391e+07,7.845365694065e-06
612,3.960672742578e+07,8.728606594327e-06
613,3.976227162295e+07,1.083657431980e-05
614,3.977642414973e+07,1.326789830979e-05
615,3.980791147867e+07,1.533274209686e-05
616,3.989476234532e+07,8.196073816704e-06
617,4.005715881521e+07,7.874465318928e-06
618,4.027384321623e+07,1.103951939787e-05
619,4.034575545546e+07,1.226018221539e-05
620,4.038095911213e+07,8.596579186093e-06
621,4.042795905868e+07,1.103825887608e-05
622,4.060065464380e+07,8.130504640833e-06
623,4.062873829233e+07,1.064003696385e-05
624,4.079854845927e+07,1.235379882344e-05
625,4.103091297899e+07,1.540248546066e-05
626,4.120820263495e+07,1.325566461032e-05
627,4.141312024060e+07,1.309864172102e-05
628,4.148820379413e+07,8.507185367397e-06
629,4.160650358698e+07,1.174587168725e-05
630,4.170801033695e+07,9.863101951751e-06
