Method,Num_Modes,Error_2norm,Time_Total
CMS-INTRD,360,1.4605e-02,77.2223
CMS-INTRD,370,1.6786e-02,77.0248
CMS-INTRD,380,1.4659e-02,83.263
CMS-INTRD,390,1.2524e-02,88.3361
CMS-INTRD,400,1.1958e-02,91.2795
PD,30,1.9572e+00,9.67195
PD,35,1.0685e-01,11.329
PD,40,2.2480e-02,12.6548
PD,45,5.7145e-03,14.305
PD,50,1.6759e-03,16.437
PD,55,3.3884e-04,18.1335
PD,60,1.8048e-04,21.0452
PD,65,1.1517e-04,22.3972
PD,70,7.8140e-05,23.4953
PD,75,5.4619e-05,25.5555
PD,80,3.6578e-05,26.779
PD,85,3.1991e-05,27.0252
PD,90,2.6969e-05,28.9703
PD,95,7.4192e-06,36.4593
PD,100,1.2721e-05,35.7208
PD,105,5.2146e-06,38.792
PD,110,6.7386e-06,38.8692
PD,115,3.5980e-06,43.6448
PD,120,5.6004e-06,43.0298
PD,125,3.9616e-06,44.9168
PD,130,3.6374e-06,50.308
PD,135,4.0234e-06,46.1867
PD,140,2.7300e-06,51.8112
PD,145,2.0298e-06,63.9417
PD,150,1.6379e-06,71.6861
PD,155,2.0511e-06,59.6308
PD,160,1.7745e-06,67.6348
PD,165,1.8652e-06,66.0101
PD,170,1.6309e-06,77.7326
PD,175,1.7276e-06,72.2857
PD,180,1.6816e-06,73.9625
PD,185,1.5992e-06,83.9114
PD,190,1.5576e-06,88.2572
PD,195,1.5736e-06,87.3349
PD,200,1.5369e-06,88.4535
